Lista de preços - NOVEMBRO/2025,,,,,
Categoria: Informática,,,,,
Título do Livro,ISBN,,Autor,Preço (R$),Status
Desvendando a Computação Forense,9788575222607,,"Pedro Eleutério, Marcio Machado","55,00",Disponível apenas em e-book
Dominando Estilos de APIs,9788575229804,,"Lucasz Dynowsky, Marcin Dulak","129,00",Disponível
Dominando o Android com Kotlin,9788575227268,,Nelson Glauber,"159,00",Disponível apenas em e-book
Dominando o Node.js,9788575229477,,Ulises Gascón,"115,00",Disponível
Dominando o React,9788575229583,,Maximilian Schwarzmüller,"159,00",Disponível
E-commerce com PHP e MySQL,9788575223970,,Larry Ullman ,"134,00",Disponível
Eletrônica Fácil,9788575226889,,Charles Platt,"42,00",Disponível
Engenharia de Confiabilidade do Google,9788575225172,,"Betsy Beyer, Chris Jones, Jennifer Setoff, Niall Richard Murphy","159,00",Disponível
Engenharia de Plataforma,9788575229415,,"Camille Fournier, Ian Nowland","109,00",Disponível
Engenharia de Software para Cientistas de Dados,9788575229170,,Catherine Nelson,"93,00",Disponível
Entendendo Algoritmos,9788575225639,,Aditya Y. Bhargava,"75,00",Disponível
Entendendo Estruturas de Dados,9788575229316,,Marcello La Rocca,"96,00",Disponível
Equipes de Software,9788575223291,,"Brian W. Fritzpatrick, Ben Collins-Sussman","59,00",Disponível
Estratégia de UX,9786586057652,,Jaime Levy,"95,00",Disponível
Estruturas de Dados e Algoritmos com Python,9788575228500,,Basant Agarwal,"116,00",Disponível
Estruturas de Dados e Algoritmos em Javascript – 2ª Edição,9788575226933,,Loiane Groner,"109,00",Disponível
Expressões Regulares Uma Abordagem Divertida – 5ª Edição,9788575224748,,Aurelio Marinho Jargas,"62,00",Disponível
Facilitando a Arquitetura de Software,9788575229569,,Andrew Harmel-Law,"152,00",Disponível
Ferramentas Essenciais para Desenvolvedores PHP,9788575225264,,Chad Russell,"49,00",Disponível
Fundamentos da Arquitetura de Software – 2ª Edição,9788575229682,,"Mark Richard, Neal Ford","152,00",Disponível
Fundamentos da SVG,9788575223215,,Mauricio Samy Silva,"59,00",Disponível
Fundamentos de Engenharia de Dados,9788575228760,,Joe Reis/Matt Housley,"165,00",Disponível
Fundamentos de HTML5 e CSS3,9788575224380,,Maurício Samy Silva,"76,00",Disponível
Fundamentos de Sass e Compass,9788575224878,,Mauricio Samy Silva,"59,00",Disponível
